Id,Label,timeset,modularity_class,Authority,Hub,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,indegree,outdegree,Degree,pageranks,clustering,eigencentrality,Pop Size
andaman & nicobar islands,,,2,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,81267,20700,101967,34,34,68,0.028992,0.983066,1.0,380581.0
andhra pradesh,,,2,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,1591890,2030004,3621894,34,34,68,0.028992,0.983066,1.0,84580777.0
arunachal pradesh,,,1,0.167185,0.1716,1,1.0,1.0,0.42213900000000004,136010,37368,173378,33,34,67,0.02818,0.983957,0.9726100000000001,1383727.0
assam,,,1,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,495699,659694,1155393,34,34,68,0.028992,0.983066,1.0,31205576.0
bihar,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,1111954,7453803,8565757,34,34,68,0.028992,0.983066,1.0,104099452.0
chandigarh,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,633966,265645,899611,34,34,68,0.028992,0.983066,1.0,1055450.0
chhattisgarh,,,1,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,1267668,693632,1961300,34,34,68,0.028992,0.983066,1.0,25545198.0
dadra & nagar haveli,,,2,0.162051,0.161922,2,0.9444440000000001,0.9705879999999999,0.40754,135602,16635,152237,32,32,64,0.027468,0.9866309999999999,0.942757,343709.0
daman & diu,,,2,0.162631,0.14235599999999998,2,0.85,0.9117649999999999,0.1625,124522,18906,143428,32,28,60,0.027385000000000003,0.9905299999999999,0.9435459999999999,243247.0
goa,,,2,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,269689,106196,375885,34,34,68,0.028992,0.983066,1.0,16787941.0
gujarat,,,2,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,3916075,1571862,5487937,34,34,68,0.028992,0.983066,1.0,1458545.0
haryana,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,3626318,2315915,5942233,34,34,68,0.028992,0.983066,1.0,60439692.0
himachal pradesh,,,0,0.171576,0.166937,2,0.9714290000000001,0.985294,0.506001,395504,535823,931327,34,33,67,0.02897,0.983957,1.0,25351462.0
jammu & kashmir,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,155187,328919,484106,34,34,68,0.028992,0.983066,1.0,6864602.0
jharkhand,,,1,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,2195521,1704827,3900348,34,34,68,0.028992,0.983066,1.0,12541302.0
karnataka,,,2,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,3247660,2502956,5750616,34,34,68,0.028992,0.983066,1.0,32988134.0
kerala,,,2,0.171585,0.166621,2,0.9714290000000001,0.985294,0.573429,654423,1290160,1944583,34,33,67,0.02897,0.983957,1.0,61095297.0
lakshadweep,,,2,0.151757,0.172061,1,1.0,1.0,0.43933500000000003,6077,15680,21757,30,34,64,0.02611,0.9866309999999999,0.8871610000000001,33406061.0
madhya pradesh,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,2744332,2979492,5723824,34,34,68,0.028992,0.983066,1.0,64473.0
maharashtra,,,2,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,9087380,3068231,12155611,34,34,68,0.028992,0.983066,1.0,72626809.0
manipur,,,1,0.16233699999999998,0.167213,2,0.9714290000000001,0.985294,0.255175,20100,75751,95851,32,33,65,0.02745,0.98574,0.9443819999999999,112374333.0
meghalaya,,,1,0.16733,0.166757,2,0.9714290000000001,0.985294,0.357556,107915,70268,178183,33,33,66,0.02816,0.984848,0.9726100000000001,2721756.0
mizoram,,,1,0.162491,0.166884,2,0.9714290000000001,0.985294,0.294048,41380,30365,71745,32,33,65,0.027448,0.9905299999999999,0.945241,2966889.0
nagaland,,,1,0.162341,0.167213,2,0.9714290000000001,0.985294,0.255175,106855,45734,152589,32,33,65,0.027431999999999998,0.98574,0.943593,1097206.0
nct of delhi,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,6330065,1556308,7886373,34,34,68,0.028992,0.983066,1.0,1978502.0
odisha,,,1,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,855096,1271121,2126217,34,34,68,0.028992,0.983066,1.0,41974218.0
puducherry,,,2,0.166746,0.166766,2,0.9714290000000001,0.985294,0.509921,339967,288834,628801,33,33,66,0.028258999999999996,0.984848,0.9726309999999999,1247953.0
punjab,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,2488299,1740877,4229176,34,34,68,0.028992,0.983066,1.0,27743338.0
rajasthan,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,2604298,3756716,6361014,34,34,68,0.028992,0.983066,1.0,68548437.0
sikkim,,,1,0.17186500000000002,0.15723299999999998,2,0.918919,0.955882,0.376835,61163,21459,82622,34,31,65,0.028923,0.98574,1.0,610577.0
tamil nadu,,,2,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,1650771,1985157,3635928,34,34,68,0.028992,0.983066,1.0,72147030.0
tripura,,,1,0.162206,0.171749,1,1.0,1.0,0.390889,85860,85862,171722,32,34,66,0.027451999999999997,0.984848,0.943593,3673917.0
uttar pradesh,,,0,0.171585,0.166625,2,0.9714290000000001,0.985294,0.573429,4061933,12318074,16380007,34,33,67,0.02897,0.983957,1.0,199812341.0
uttarakhand,,,0,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,1250575,993570,2244145,34,34,68,0.028992,0.983066,1.0,10086292.0
west bengal,,,1,0.17144,0.17147300000000001,1,1.0,1.0,0.641716,2381045,2405522,4786567,34,34,68,0.028992,0.983066,1.0,91276115.0
